"pruefer","anzahl","schnitt"
"Schumann",6315,3.22676096672736
"Rübel",5062,2.98214895314058
"Geldermann",4666,2.80355900755124
"Toporowski",3874,2.95317967332123
"Korn",3832,3.0876814951303
"Unternehmen Und Märkte",3755,NA
"Tafenau",3618,3.52620377044635
"Böker",3252,3.3136943583385
"Schwager",3192,3.45530161812298
"Ohr",3135,3.14789704449497
"Maurer",3125,2.95490941101152
"Oestreicher",3011,3.25108341845421
"Wolff",2956,2.89444530985439
"Hitz",2770,3.3415058224163
"Dierkes",2044,2.9451235501765
"Keser",1941,3.3695986250661
"Klasen",1866,3.00078265765766
"Hammerschmidt",1804,2.54169139297848
"Kneib",1786,3.24466627906977
"Trimborn",1754,3.20496931094383
"Hilger",1743,3.05646927053418
"Kolbe",1647,2.61552852664577
"Boztug",1587,3.0441210355987
"Muntermann",1548,2.92330949197861
"Bizer",1510,3.17895152354571
"Herwartz",1470,2.9947726618705
"Froese",1429,2.60738461538462
"Klett",1268,3.66083320095314
"Seeber",1022,2.77448216216216
"Wollni",962,3.05892827442827
"Nenadic",937,3.11525
"0PA",817,3.46103182374541
"Vollmer",816,3.09487801778907
"Geishecker",807,3.25373479948254
"Brehm",769,2.47810582010582
"Berger",719,3.43109537572254
"Möller",688,2.955125
"Wedell",681,3.37564212076583
"Rank",658,3.11019538461538
"Martinez-Zarzoso",618,2.67463653136531
"Kuchinke",515,3.32042209072978
"Baskaran",498,3.15512311015119
"König",448,2.66206413301663
"Reus",446,2.65117661097852
"Balleer",427,2.63327
"Lay",408,2.64105384615385
"Wiebe",383,3.3347911227154
"John",357,1.94813553113553
"Merz",357,3.40114565826331
"Preiß",354,2.53079179810726
"Strulik",353,2.94652564102564
"Schmidt-Recla",308,2.89092857142857
"Kranz",300,3.00255326460481
"Schwarz",295,3.1939512195122
"Liebau",274,2.88709854014599
"Aytimur",272,3.15625490196078
"Gehringer",261,2.56200436681223
"Götzl",241,2.06728571428571
"Müller-Seitz",224,2.81628571428571
"Birg",204,2.48277653631285
"Koch",200,2.85647208121827
"Köhler",195,NA
"Tonhäuser",191,1.90121264367816
"Krenz",189,3.20841520467836
"Oehmichen",180,2.83371341463415
"Sautter",174,2.5766303030303
"Sakowsky",168,2.23302097902098
"Jahn",154,3.06233766233766
"Zapka",154,3.31034057971014
"Lahner",149,1.7858231292517
"Lademann",144,1.99300709219858
"Oldenbürger",144,2.07180701754386
"Fehrenbach",143,3.68895804195804
"Buxmann",141,2.55025454545455
"Nowak-Lehmann Danzinger",125,2.063816
"Ubben",125,2.92216666666667
"Loos",122,2.81498214285714
"Bader",113,1.98789130434783
"Engel",111,2.69
"Schneider",107,NA
"Meyer",104,2.09156338028169
"Nacke",104,2.66648076923077
