"modul","semester","termin","pruefer","anzahl","bestanden","nichtBestanden","schnitt","schnittBestanden","X1_0","X1_3","X1_7","X2_0","X2_3","X2_7","X3_0","X3_3","X3_7","X4_0","X5_0","ohneNote"
112,52,"16.02.2011","Oestreicher",195,172,19,3.059,2.822,0.5,1.5,6.2,12.3,10.8,11.8,15.9,10.3,9.2,9.7,10.8,1
112,53,"20.07.2011","Oestreicher",179,146,23,3.262,2.882,1.1,3.9,2.2,6.1,9.5,14.5,14,10.1,12.8,7.3,17.9,0.6
112,54,"15.02.2012","Oestreicher",218,198,16,3.071,2.892,0.5,1.4,4.6,9.6,12.4,14.2,13.3,12.8,12.8,9.2,4.1,NA
112,55,"25.07.2012","Oestreicher",201,149,34,3.607,3.133,NA,0.5,2,7,7,8,11.4,11.9,9.5,17.4,25.4,NA
112,56,"13.02.2013","Oestreicher",296,239,46,3.317,2.93,1.4,2.4,4.1,4.7,10.1,10.8,14.2,12.5,9.8,10.8,18.6,0.7
112,57,"17.07.2013","Oestreicher",170,100,50,3.976,3.279,0.6,1.2,1.2,2.9,4.1,5.3,5.9,8.2,11.2,18.2,40,1.2
112,58,"12.02.2014","Oestreicher",291,223,45,3.22,2.685,4.8,3.4,5.5,8.6,12,7.2,8.2,9.3,8.9,8.6,23,0.3
112,59,"30.07.2014","Oestreicher",234,189,36,3.203,2.795,2.6,2.6,5.6,7.3,12.8,10.3,10.3,9.4,11.5,8.5,18.4,0.9
112,60,"11.02.2015","Oestreicher",244,204,40,3.217,2.876,1.6,0.8,7,7.4,14.8,10.7,8.2,8.2,10.7,14.3,16,0.4
112,61,"22.07.2015","Oestreicher",222,182,40,3.125,2.713,0.9,5,4.1,11.3,15.3,12.6,9,5.9,6.8,11.3,18,NA
112,62,"17.02.2016","Oestreicher",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
113,52,"19.02.2011","Möller",224,182,35,3.348,2.995,0.9,1.3,3.6,4.9,10.3,12.5,10.7,14.3,9.8,12.9,17.4,1.3
113,53,"29.07.2011","Möller",157,143,9,2.745,2.556,1.3,5.7,11.5,10.2,12.1,17.8,12.7,9.6,7.6,2.5,7.6,1.3
